iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
114,0.5560895367211142,0.01007123947794106,0.6616701920970286,0.008723444277679357,0.19507381139690624,0.004049569485174595,0.16733980703833348,0.0020884473358186986
115,0.5562795549178855,0.010486851253741672,0.6624576240425489,0.008151612607848368,0.19509180391519393,0.004056726671854532,0.16714612282756486,0.002005520366895797
116,0.5563357657132741,0.010732197808407123,0.6627480330163268,0.007912389265099021,0.1950760649171873,0.004064572291279099,0.16701312638405902,0.0019170688710021407
117,0.5554541495432839,0.01034635366417803,0.6630021090944059,0.0073278885860768835,0.19511039216514606,0.00407412957906456,0.1668707912887875,0.00187709662676213
118,0.5550989527076781,0.009981758987198103,0.6633629172319905,0.007176151370242129,0.19509249155866984,0.004078787331746763,0.16674404937122364,0.0018183399154335957
119,0.5550417272941072,0.009723756034815302,0.663562795180423,0.0069628188316954226,0.1950719864908816,0.004088515662188643,0.16664305434253768,0.0017827669311997409
120,0.5562376081959381,0.009380351148491938,0.6644178279688802,0.008068633147255956,0.19509376573056275,0.004144928132252966,0.16647530045237238,0.0019459956290882633
121,0.5566335144770281,0.009937889679046,0.6657098915528121,0.00798590028142442,0.19510819997747056,0.004134669925435477,0.1661790779481445,0.0018599591660904032
122,0.5571998945329647,0.008132013490013192,0.6673096500612423,0.006896606590758282,0.19513349021981702,0.004172404206404184,0.1659388853552033,0.0017544115815909156
123,0.5573308248234641,0.00814944120873072,0.6677456757334722,0.006658132983107229,0.19515671838352405,0.004163977504514676,0.16571615537071097,0.001846023727943291
124,0.5564695947649371,0.00910337946462394,0.6682270772133443,0.00769691528017142,0.1951635114303287,0.004179576260899678,0.16561730203759187,0.0019257004714500318
125,0.5565653965524527,0.00937759150041912,0.6690978694959654,0.007477535221613224,0.19518098966151998,0.004180509908007262,0.1654947604230316,0.001962402833173881
126,0.5563549834249936,0.009340903315297062,0.6698869089092793,0.007114051290232259,0.19517911946566754,0.004169330382913116,0.16532194372664502,0.001971766331785876
127,0.556771343408391,0.0092291288947773,0.6705550921256421,0.006560874410086528,0.19520911113254746,0.004192828678077043,0.16517099939203422,0.0019881653865194077
128,0.5567463143723804,0.010161952700236466,0.6710739060663522,0.006525799960181964,0.19516912055368768,0.004193012021663015,0.16509933680726277,0.0019661499776924486
129,0.5563119268903856,0.010450703070268491,0.6710549309961541,0.006528964065946661,0.19516315815028434,0.004191786315363428,0.1649999378855013,0.0020237345522465923
130,0.5567648122361385,0.009114969016403584,0.6710302406229681,0.007273549439324877,0.19515948283757495,0.004172932907650568,0.16483072708601412,0.001974673524763285
131,0.5557998767049693,0.009588931300048493,0.6722302293362705,0.007640487055753318,0.19515746037257586,0.004120841618804741,0.16449910117688332,0.002026122752694322
132,0.5572285754176585,0.011195787239003585,0.672967210428497,0.007264143541179204,0.19509094457522974,0.003991317795371834,0.16426999036471898,0.002109234514072981
133,0.5558796647277955,0.011474413533405427,0.6737558533785252,0.007482059991239173,0.1950691648989206,0.003992928970977328,0.1640127098624009,0.0020372166589706993
134,0.5554569555880906,0.01160980481583759,0.674152510827574,0.007207003954167546,0.19505368363340958,0.0039924236777225605,0.1639437571874286,0.0019818486049072524
135,0.5560883790523785,0.009014092194338868,0.674931710086285,0.008041740474638022,0.19510406804476915,0.004090771053653942,0.16372923889123342,0.0020454713010992867
136,0.5568086291495729,0.009415960753170945,0.6758252689083342,0.008033854145052506,0.19509658663294344,0.004075299323506916,0.16362571686946537,0.0020795068952541773
137,0.5570156492234511,0.010182267273975183,0.6767932601770715,0.007437319015436109,0.19506271673355596,0.0041242441627357615,0.16338671482844974,0.002080523190294853
138,0.5561223084442487,0.011141945447952054,0.6776268626156092,0.007797577029907045,0.19505335574482624,0.00414184488178126,0.16312614994708,0.00230397166437245
139,0.5564661415534017,0.011368724860248985,0.6789136000108612,0.008257967964070058,0.19497565163360606,0.004155021021989934,0.1628631423010393,0.002281093213938412
140,0.5564118822330881,0.011095103179866062,0.6785747625378591,0.008288409652116595,0.19490417666915166,0.004146236148762235,0.16272316371708095,0.002305616337171124
141,0.557120596384693,0.011165172648979718,0.6787739878543225,0.007884724000364779,0.1948837148684131,0.0041577202995417735,0.16268627885819256,0.0022487576363491774
142,0.5571058776902279,0.011199609469164736,0.6792418553085104,0.007845502425828937,0.19481859386815975,0.004179505342359286,0.1625475859429329,0.0022273313633327497
143,0.5576521785012134,0.010580848452399535,0.6797497233724654,0.008058167739022787,0.19479507058654305,0.004150652355577532,0.16245667255749308,0.00231013771674494
144,0.5586983964572602,0.011027225481725222,0.6796958039278096,0.007735695186725368,0.19476355570118725,0.004162286753312303,0.1622742156969637,0.0021622361817957066
145,0.5582058139180431,0.011301871748365186,0.6803086514510948,0.007154647025221161,0.19475738312192517,0.00416140154280199,0.16218683906150883,0.002088727253903433
146,0.5582644145774928,0.011674480603968309,0.6804748767258832,0.006853014068270948,0.1947723926523232,0.004141502736222616,0.16210511838591402,0.0019974634943152074
147,0.5579000660859934,0.011391526612695229,0.6812453465218236,0.006638037139208169,0.19476693196501205,0.004138408717898482,0.16202077785574837,0.0020108682561970803
148,0.5567117459997997,0.010070354355081699,0.6817961060997731,0.0077300424212694355,0.19476448408854607,0.004131660327570397,0.16191105644964338,0.0020490205898927925
149,0.5569105854106132,0.010201226235219915,0.6822867705899558,0.007090652076223858,0.1947007131368802,0.004173648023015645,0.16176555727726982,0.001847192996899874
150,0.5578956636597696,0.010966894303014436,0.6826298048534905,0.006901129666085102,0.19471057840609718,0.004196949847833371,0.16169209351061886,0.0017841720142889727
151,0.557512232844403,0.012260377834337158,0.6830589308859374,0.0062656279372993486,0.19474523044216618,0.0041755018359770826,0.16150821695199125,0.0016588010368316444
